Rk,G,Date,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,BLK,OTOV,OPF
51,51,2020/2/8,GSW,W,125,120,43,82,0.524,14,29,0.483,25,34,0.735,12,47,29,11,2,24,22,,46,89,0.517,13,32,0.406,15,23,0.652,8,33,31,15,6,18,27
52,52,2020/2/10,PHO,W,125,100,47,91,0.516,14,37,0.378,17,25,0.68,16,59,28,8,4,16,22,,32,76,0.421,11,31,0.355,25,31,0.806,3,29,26,7,2,13,19
53,53,2020/2/12,DEN,W,120,116,47,93,0.505,12,33,0.364,14,27,0.519,10,49,29,8,4,12,22,,44,88,0.5,11,25,0.44,17,22,0.773,3,42,32,9,2,10,26
54,54,2020/2/21,MEM,W,117,105,41,86,0.477,9,29,0.31,26,40,0.65,12,49,25,9,14,14,24,,42,92,0.457,5,15,0.333,16,31,0.516,16,50,22,9,1,16,27
55,55,2020/2/23,BOS,W,114,112,39,86,0.453,11,34,0.324,25,37,0.676,11,46,20,9,4,13,22,,38,83,0.458,13,34,0.382,23,30,0.767,8,44,20,7,3,17,29
56,56,2020/2/25,NOP,W,118,109,45,102,0.441,13,44,0.295,15,21,0.714,14,51,27,10,12,16,20,,39,86,0.453,8,27,0.296,23,30,0.767,6,45,31,10,2,20,24
57,57,2020/2/27,GSW,W,116,86,45,88,0.511,8,24,0.333,18,27,0.667,8,44,24,13,5,16,17,,34,80,0.425,9,32,0.281,9,10,0.9,5,37,27,7,3,26,27
58,58,2020/2/29,MEM,L,88,105,36,87,0.414,9,35,0.257,7,12,0.583,13,45,26,5,3,14,13,,43,95,0.453,10,31,0.323,9,11,0.818,15,51,27,10,4,7,14
59,59,2020/3/1,NOP,W,122,114,50,97,0.515,13,35,0.371,9,10,0.9,6,36,23,9,10,13,26,,40,95,0.421,7,32,0.219,27,33,0.818,15,52,24,7,3,16,11
60,60,2020/3/3,PHI,W,120,107,46,86,0.535,13,33,0.394,15,18,0.833,10,43,25,9,6,13,18,,38,85,0.447,16,40,0.4,15,20,0.75,12,42,24,10,1,15,17
61,61,2020/3/6,MIL,W,113,103,38,91,0.418,6,32,0.188,31,38,0.816,10,52,19,11,4,16,27,,37,89,0.416,12,43,0.279,17,23,0.739,5,45,22,8,1,19,32
62,62,2020/3/8,LAC,W,112,103,39,87,0.448,10,35,0.286,24,28,0.857,9,45,22,8,7,12,28,,34,86,0.395,7,31,0.226,28,37,0.757,15,49,12,5,5,15,26
63,63,2020/3/10,BRK,L,102,104,40,87,0.46,15,40,0.375,7,12,0.583,8,46,24,7,4,14,22,,37,90,0.411,13,40,0.325,17,23,0.739,14,47,24,7,3,10,18
64,64,2020/7/30,LAC,W,103,101,32,82,0.39,11,36,0.306,28,37,0.757,11,45,21,6,3,16,27,,32,74,0.432,16,36,0.444,21,28,0.75,4,36,17,6,5,20,30
65,65,2020/8/1,TOR,L,92,107,29,82,0.354,10,40,0.25,24,33,0.727,8,40,17,8,12,17,25,,35,84,0.417,14,34,0.412,23,26,0.885,7,51,24,7,5,14,28
66,66,2020/8/3,UTA,W,116,108,41,82,0.5,9,26,0.346,25,31,0.806,4,38,23,12,3,14,24,,37,83,0.446,12,43,0.279,22,25,0.88,7,42,25,8,3,21,29
67,67,2020/8/5,OKC,L,86,105,31,88,0.352,5,37,0.135,19,29,0.655,10,46,17,7,3,11,24,,34,79,0.43,5,24,0.208,32,36,0.889,4,52,17,9,2,13,23
68,68,2020/8/6,HOU,L,97,113,35,77,0.455,2,19,0.105,25,36,0.694,12,48,18,11,6,24,20,,36,84,0.429,21,57,0.368,20,23,0.87,4,34,26,11,5,19,28
69,69,2020/8/8,IND,L,111,116,42,100,0.42,13,39,0.333,14,19,0.737,15,44,20,13,6,15,16,,44,84,0.524,15,33,0.455,13,14,0.929,7,42,25,12,4,20,21
70,70,2020/8/10,DEN,W,124,121,44,81,0.543,14,29,0.483,22,32,0.688,14,32,28,8,4,10,18,,45,77,0.584,13,23,0.565,18,23,0.783,10,35,27,6,2,14,20
71,71,2020/8/13,SAC,L,122,136,48,98,0.49,15,35,0.429,11,15,0.733,15,47,29,6,1,17,18,,54,95,0.568,21,47,0.447,7,12,0.583,9,44,37,12,2,14,15
